Sehir,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Düzce,"25.575,33","20.682,25","14.127,25","7.094,88","2.682,00","1.998,00","1.611,50","1.491,00","1.426,13","1.326,50","1.255,75","1.149,75","1.025,13","873,75","742,75","708,63"
Giresun,"25.065,50","20.028,38","12.568,25","5.667,50","2.547,50","2.028,50","1.691,13","1.496,25","1.311,75","1.137,50","1.029,00","987,75","917,38","866,50","806,00","763,25"
Uşak,"24.893,17","19.692,88","13.160,38","6.194,00","2.697,88","2.026,50","1.663,75","1.555,13","1.464,25","1.362,50","1.236,50","1.083,25","945,75","820,63","727,38","678,88"
Çankırı,"24.426,33","19.507,63","12.627,75","5.687,13","2.341,63","1.750,13","1.406,63","1.291,63","1.167,13","1.102,50","1.048,13","994,75",,,,
Kahramanmaraş,"24.097,00","18.993,75","14.319,83","7.429,43","3.222,93","2.189,18","1.543,93","1.357,08","1.268,25","1.217,38","1.110,88","951,75","778,25","700,13","649,00","636,75"
Iğdır,"23.962,00","18.261,25","11.389,50",,,,,,,,,,,,,
Niğde,"23.846,33","18.041,88","11.339,38","5.665,13","2.225,38","1.610,13","1.317,00","1.206,88","1.115,38","1.021,00","959,00","875,88","809,75","707,63","600,13","581,50"
Çorum,"23.760,33","18.307,13","11.687,88","5.481,25","2.524,50","1.964,88","1.542,38","1.375,00","1.228,00","1.104,00","992,50","887,25","797,50","714,25","661,25","598,50"
Hatay,"23.710,17","19.609,25","14.359,23","6.248,60","2.630,70","1.928,95","1.560,45","1.432,45","1.332,45","1.163,25","1.101,38","1.010,25","942,50","895,50","814,00","724,75"
Sivas,"23.309,33","17.939,38","11.754,88","5.627,25","2.426,25","1.784,75","1.499,75","1.392,75","1.294,25","1.231,50","1.183,25","1.069,75","947,63","833,25","743,88","637,50"
Bingöl,"22.652,83","14.745,25","9.128,00","4.881,50","2.333,00","1.631,88","1.257,25","1.120,38","1.016,50","970,63","950,75","922,00",,,,
Kayseri,"22.563,37","17.274,15","12.190,00","6.845,00","2.991,63","2.228,18","1.755,53","1.604,28","1.377,03","1.232,93","1.124,43","1.005,53","902,05","817,48","720,73","647,65"
Kırıkkale,"22.357,00","16.866,88","10.617,25","4.757,13","2.335,13","1.781,50","1.468,13","1.367,38","1.251,00","1.197,75","1.139,25","1.028,88","936,00","824,25","725,63","686,63"
Kırşehir,"21.939,00","17.587,25","11.365,00","5.251,75","2.448,50","1.789,63","1.463,00","1.304,25","1.205,63","1.101,63","1.039,25","973,75","880,25","799,63","721,88","667,00"
Batman,"21.936,33","15.959,88","10.567,63","5.768,88","2.853,50","2.045,38","1.638,25","1.469,75","1.398,38","1.341,50","1.186,63","1.013,88",,,,
Kilis,"21.726,17","17.974,00","10.627,88","6.045,38","2.771,13","2.108,88","1.638,50","1.322,25","1.155,38","1.131,00","1.078,75","989,75",,,,
Erzurum,"21.709,33","15.736,25","9.899,63","4.614,13","2.190,25","1.723,13","1.504,00","1.481,53","1.331,33","1.134,90","1.061,00","996,13",,,,
Elazığ,"21.624,50","16.176,75","9.915,88","5.138,50","2.661,00","2.185,00","1.681,75","1.441,88","1.152,38","1.019,13","972,13","914,25","858,63","777,00","720,75","678,25"
Kars,"21.215,00","16.382,25","9.901,25",,,,,,,,,,,,,
Şanlıurfa,"21.112,47","16.704,30","11.644,68","6.234,68","2.454,68","1.630,60","1.293,83","1.228,65","1.189,15","1.168,80","1.133,38","1.083,13","1.069,38","974,25","769,88","661,00"
Muş,"21.007,50","14.704,50","9.657,88",,,,,,,,,,,,,
Malatya,"20.931,33","17.968,50","13.128,03","6.363,53","2.833,18","2.137,08","1.643,40","1.472,28","1.248,50","1.082,48","976,38","907,75","836,88","759,75","677,88","628,00"
Bitlis,"20.867,33","14.890,13","8.772,50",,,,,,,,,,,,,
Yozgat,"20.716,00","17.466,13","11.358,13","5.345,88","2.324,00","1.749,25","1.357,75","1.183,25","1.044,75","929,00","892,50","852,63","797,88","735,13","690,75","644,75"
Osmaniye,"20.360,17","17.434,50","10.868,00","5.558,38","2.534,50","1.780,63","1.371,00","1.211,38","1.105,25","1.016,25","974,63","900,50","816,50","744,63","667,88","588,13"
Şırnak,"20.164,50","15.622,50","9.673,50","4.033,75",,,,,,,,,,,,
Siirt,"19.754,67","13.996,63","8.639,38","4.364,75","2.187,75","1.607,25","1.267,38","1.162,75","1.050,25","1.011,25","1.015,00","968,38",,,,
Adıyaman,"19.684,00","16.142,13","11.595,00","6.308,25","2.808,63","1.903,00","1.588,88","1.426,25","1.281,75","1.189,88","1.048,88","911,75","779,25","698,25","654,00","588,63"
Mardin,"17.421,67","14.170,75","9.891,00","4.886,13","1.952,13","1.297,63","983,88","885,00","870,25","865,38","887,00","843,63",,,,
Ağrı,"16.632,00","13.427,00","8.214,25",,,,,,,,,,,,,
Gümüşhane,,,,,,,,,,,,,,,,
Hakkari,,,,,,,,,,,,,,,,
Tunceli,,,,,,,,,,,,,,,,
Bayburt,,,,,,,,,,,,,,,,
Ardahan,,,,,,,,,,,,,,,,
